Group_id,Members,Glossary,original,text,default_combine,nectec_combine,string_combine,filename,sentence_num
00001740,a_cappella|a_capella,"without musical accompaniment; ""they performed a cappella""","00001740 02 r 02 a_cappella 0 a_capella 0 002 \ 02260096 a 0202 \ 02260096 a 0101 | without musical accompaniment; ""they performed a cappella""  ",['อย่างประสานเสียง'],['อย่าง/FX/O ประสาน/VV/O เสียง/NN/O'],['อย่าง/FX/O|ประสาน/VV/O|เสียง/NN/O'],อย่าง/FX/O ประสาน/VV/O เสียง/NN/O,TWN-adv-3626-Clean-Aug-2021,1
00001885,AD|A.D.|anno_Domini,"in the Christian era; used before dates after the supposed year Christ was born; ""in AD 200""","00001885 02 r 03 AD 0 A.D. 0 anno_Domini 0 000 | in the Christian era; used before dates after the supposed year Christ was born; ""in AD 200""  ","['ในปีคริสต์ศักราช', 'ตามคริสต์ศักราช']",['ใน/PS/O ปี/NN/O คริสต์/NN/O ศักราช/NN/O|ตาม/VV/B_PER คริสต์/NN/O ศักราช/NN/O'],"['ใน/PS/O|ปี/NN/O|คริสต์/NN/O|ศักราช/NN/O', 'ตาม/VV/B_PER|คริสต์/NN/O|ศักราช/NN/O']",ใน/PS/O ปี/NN/O คริสต์/NN/O ศักราช/NN/O|ตาม/VV/B_PER คริสต์/NN/O ศักราช/NN/O,TWN-adv-3626-Clean-Aug-2021,2
00002029,CE|C.E.|Common_Era,"of the period coinciding with the Christian era; preferred by some writers who are not Christians; ""in 200 CE""","00002029 02 r 03 CE 0 C.E. 0 Common_Era 0 000 | of the period coinciding with the Christian era; preferred by some writers who are not Christians; ""in 200 CE""  ",['ตามศักราชสามัญ'],['ตาม/VV/O ศัก/NN/O ราชสามัญ/NN/O'],['ตาม/VV/O|ศัก/NN/O|ราชสามัญ/NN/O'],ตาม/VV/O ศัก/NN/O ราชสามัญ/NN/O,TWN-adv-3626-Clean-Aug-2021,3
00002190,BC|B.C.|before_Christ,"before the Christian era; used following dates before the supposed year Christ was born; ""in 200 BC""","00002190 02 r 03 BC 0 B.C. 0 before_Christ 0 000 | before the Christian era; used following dates before the supposed year Christ was born; ""in 200 BC""  ","['ก่อนคริสต์กาล', 'ก่อนคริสต์ศักราช', '..ก่อนคริสต์ศักราช']",['ก่อน/PS/O คริสต์กาล/NN/O|ก่อน/PS/B_PER คริสต์/NN/O ศักราช/NN/O|../PU/O ก่อน/PS/O คริสต์/NN/O ศักราช/NN/O'],"['ก่อน/PS/O|คริสต์กาล/NN/O', 'ก่อน/PS/B_PER|คริสต์/NN/O|ศักราช/NN/O', '../PU/O|ก่อน/PS/O|คริสต์/NN/O|ศักราช/NN/O']",ก่อน/PS/O คริสต์กาล/NN/O|ก่อน/PS/B_PER คริสต์/NN/O ศักราช/NN/O|../PU/O ก่อน/PS/O คริสต์/NN/O ศักราช/NN/O,TWN-adv-3626-Clean-Aug-2021,4
00002344,BCE|B.C.E.,"of the period before the Common Era; preferred by some writers who are not Christians; ""in 200 BCE""","00002344 02 r 02 BCE 0 B.C.E. 0 000 | of the period before the Common Era; preferred by some writers who are not Christians; ""in 200 BCE""  ",['ก่อนศักราชสามัญ'],['ก่อน/CC/O ศัก/VV/O ราชสามัญ/NN/O'],['ก่อน/CC/O|ศัก/VV/O|ราชสามัญ/NN/O'],ก่อน/CC/O ศัก/VV/O ราชสามัญ/NN/O,TWN-adv-3626-Clean-Aug-2021,5
00002484,horseback|ahorse|ahorseback,"on the back of a horse; ""he rode horseback to town""; ""managed to escape ahorse""; ""policeman patrolled the streets ahorseback""","00002484 02 r 03 horseback 0 ahorse 0 ahorseback 0 000 | on the back of a horse; ""he rode horseback to town""; ""managed to escape ahorse""; ""policeman patrolled the streets ahorseback""  ",['บนหลังม้า'],['บน/PS/O หลัง/NN/O ม้า/NN/O'],['บน/PS/O|หลัง/NN/O|ม้า/NN/O'],บน/PS/O หลัง/NN/O ม้า/NN/O,TWN-adv-3626-Clean-Aug-2021,6
00002669,barely|hardly|just|scarcely|scarce,"only a very short time before; ""we hardly knew them""; ""had scarcely rung the bell when the door flew open""; ""would have scarce arrived before she would have found some excuse to leave""- W.B.Yeats","00002669 02 r 05 barely 0 hardly 0 just 4 scarcely 0 scarce 0 000 | only a very short time before; ""we hardly knew them""; ""had scarcely rung the bell when the door flew open""; ""would have scarce arrived before she would have found some excuse to leave""- W.B.Yeats  ","['เกือบไม่พอ', 'แทบจะไม่', 'เพียง']",['เกือบ/AX/O ไม่/NG/O พอ/VV/O|แทบ/AV/O จะ/AX/O ไม่/NG/O|เพียง/AV/B_ORG'],"['เกือบ/AX/O|ไม่/NG/O|พอ/VV/O', 'แทบ/AV/O|จะ/AX/O|ไม่/NG/O', 'เพียง/AV/B_ORG']",เกือบ/AX/O ไม่/NG/O พอ/VV/O|แทบ/AV/O จะ/AX/O ไม่/NG/O|เพียง/AV/B_ORG,TWN-adv-3626-Clean-Aug-2021,7
00002935,barely|just,"by a little; ""I only just caught the bus""; ""he finished the marathon in just under 3 hours""; ""it was barely 5 a.m.""; ""the network has barely 5 percent of viewers""; ""the batter just missed being hit""","00002935 02 r 02 barely 3 just 8 000 | by a little; ""I only just caught the bus""; ""he finished the marathon in just under 3 hours""; ""it was barely 5 a.m.""; ""the network has barely 5 percent of viewers""; ""the batter just missed being hit""  ","['เกือบไม่พอ', 'แทบจะไม่', 'เพียง']",['เกือบ/AX/O ไม่/NG/O พอ/VV/O|แทบ/AV/O จะ/AX/O ไม่/NG/O|เพียง/AV/B_ORG'],"['เกือบ/AX/O|ไม่/NG/O|พอ/VV/O', 'แทบ/AV/O|จะ/AX/O|ไม่/NG/O', 'เพียง/AV/B_ORG']",เกือบ/AX/O ไม่/NG/O พอ/VV/O|แทบ/AV/O จะ/AX/O ไม่/NG/O|เพียง/AV/B_ORG,TWN-adv-3626-Clean-Aug-2021,8
00003175,just,"exactly at this moment or the moment described; ""we've just finished painting the walls, so don't touch them""","00003175 02 r 01 just 6 000 | exactly at this moment or the moment described; ""we've just finished painting the walls, so don't touch them""  ","['พอดี', 'เพิ่งจะ']",['พอดี/VV/O|เพิ่ง/AX/O จะ/AX/O'],"['พอดี/VV/O', 'เพิ่ง/AX/O|จะ/AX/O']",พอดี/VV/O|เพิ่ง/AX/O จะ/AX/O,TWN-adv-3626-Clean-Aug-2021,9
00003317,hardly|scarcely|barely|scarce,"almost not; ""he hardly ever goes fishing""; ""he was scarce sixteen years old""; ""they scarcely ever used the emergency generator""; ""I can hardly hear what she is saying""; ""she barely seemed to notice him""; ""we were so far back in the theater, we could barely read the subtitles""","00003317 02 r 04 hardly 2 scarcely 2 barely 2 scarce 1 001 \ 00016794 a 0201 | almost not; ""he hardly ever goes fishing""; ""he was scarce sixteen years old""; ""they scarcely ever used the emergency generator""; ""I can hardly hear what she is saying""; ""she barely seemed to notice him""; ""we were so far back in the theater, we could barely read the subtitles""  ","['เกือบไม่พอ', 'แทบจะไม่', 'อย่างขาดแคลน']",['เกือบ/AX/O ไม่/NG/O พอ/VV/O|แทบ/AV/O จะ/AX/O ไม่/NG/O|อย่าง/FX/O ขาดแคลน/VV/O'],"['เกือบ/AX/O|ไม่/NG/O|พอ/VV/O', 'แทบ/AV/O|จะ/AX/O|ไม่/NG/O', 'อย่าง/FX/O|ขาดแคลน/VV/O']",เกือบ/AX/O ไม่/NG/O พอ/VV/O|แทบ/AV/O จะ/AX/O ไม่/NG/O|อย่าง/FX/O ขาดแคลน/VV/O,TWN-adv-3626-Clean-Aug-2021,10
